"Object","Close-Approach (CA) Date","CA Distance Nominal (LD | au)","CA Distance Minimum (LD | au)","V relative (km/s)","V infinity (km/s)","H (mag)","Estimated Diameter",""
"153814 (2001 WN5)","2028-Jun-26 05:23 ± < 00:01","0.65 | 0.00166","0.65 | 0.00166","10.24","10.08","18.2","610 m -  1.4 km","a0153814"
"99942 Apophis (2004 MN4)","2029-Apr-13 21:46 ± < 00:01","0.10 | 0.00025","0.10 | 0.00025","7.43","5.84","19.7","310 m -  680 m","a0099942"
"(2001 AV43)","2029-Nov-11 15:25 ± < 00:01","0.81 | 0.00209","0.81 | 0.00209","4.00","3.67","24.6","32 m -   71 m","bK01A43V"
"(2012 UE34)","2041-Apr-08 02:50 ±    00:25","0.28 | 0.00073","0.27 | 0.00070","6.12","5.49","23.3","58 m -  130 m","bK12U34E"
"(2015 XJ351)","2047-Jun-06 09:07 ± 1_20:43","0.79 | 0.00203","0.25 | 0.00064","15.84","15.76","22.4","88 m -  200 m","bK15XZ1J"
"(2015 XA378)","2053-Jun-01 04:41 ±    14:29","0.55 | 0.00140","0.22 | 0.00057","18.02","17.92","25.9","18 m -   39 m","bK15Xb8A"
"(2018 NL)","2055-Jun-29 09:17 ±    09:53","0.60 | 0.00155","0.13 | 0.00034","8.51","8.30","25.4","22 m -   49 m","bK18N00L"
"523809 (2007 TV18)","2058-Sep-22 10:49 ± < 00:01","0.92 | 0.00236","0.92 | 0.00236","10.38","10.27","23.8","46 m -  100 m","a0523809"
"(2005 WY55)","2065-May-28 01:12 ± < 00:01","0.87 | 0.00222","0.86 | 0.00220","18.60","18.54","20.7","190 m -  430 m","bK05W55Y"
"308635 (2005 YU55)","2075-Nov-08 07:02 ±    00:14","0.59 | 0.00152","0.50 | 0.00128","13.77","13.64","21.9","110 m -  250 m","a0308635"
"(2015 XF261)","2090-Apr-11 07:54 ±    00:04","0.97 | 0.00250","0.91 | 0.00233","10.10","9.99","25.0","27 m -   59 m","bK15XQ1F"
"(2015 XX128)","2095-Dec-09 08:34 ± 1_04:17","0.88 | 0.00226","0.49 | 0.00125","3.97","3.66","26.0","17 m -   38 m","bK15XC8X"
"(2013 XY8)","2095-Dec-11 18:25 ±    00:17","0.89 | 0.00228","0.83 | 0.00214","9.33","9.21","25.0","27 m -   59 m","bK13X08Y"
"456938 (2007 YV56)","2101-Jan-02 04:46 ±    00:02","0.62 | 0.00160","0.62 | 0.00158","19.28","19.19","21.0","170 m -  380 m","a0456938"
"(2007 UW1)","2129-Oct-19 03:25 ±    00:30","0.24 | 0.00062","0.15 | 0.00040","5.56","4.72","22.7","77 m -  170 m","bK07U01W"
"101955 Bennu (1999 RQ36)","2135-Sep-25 09:46 ±    01:30","0.77 | 0.00199","0.31 | 0.00079","6.17","5.95","20.2","240 m -  540 m","a0101955"
"153201 (2000 WO107)","2140-Dec-01 19:50 ± < 00:01","0.63 | 0.00163","0.63 | 0.00162","26.02","25.96","19.3","370 m -  820 m","a0153201"
"(2009 DO111)","2146-Mar-23 08:47 ±    00:31","0.90 | 0.00230","0.74 | 0.00191","9.14","9.02","22.8","73 m -  160 m","bK09DB1O"
"85640 (1998 OX4)","2148-Jan-22 03:24 ± < 00:01","0.77 | 0.00198","0.77 | 0.00198","12.30","12.19","21.1","160 m -  360 m","a0085640"
"(2007 UY1)","2156-Feb-13 23:22 ±    02:56","0.69 | 0.00176","0.65 | 0.00168","5.77","5.50","22.9","70 m -  160 m","bK07U01Y"
"(2011 LT17)","2156-Dec-16 04:58 ±    00:16","1.00 | 0.00256","0.95 | 0.00245","14.10","14.03","21.6","130 m -  280 m","bK11L17T"
"(2014 SM143)","2197-Oct-23 03:29 ±    08:07","0.78 | 0.00200","0.37 | 0.00094","17.57","17.49","20.3","230 m -  520 m","bK14SE3M"